城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,虹口,低总价大两房，南北双阳台，产权清晰，看房随时安排,https://sh.lianjia.com/ershoufang/107105739420.html,2室1厅,60.66平米,南 北,低楼层(共4层),简装,建设新村,鲁迅公园, 388万,"63,964元/平",1954年建,10个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,11年次房 地铁4/10号线 沿线 高区视野开阔 板式户型,https://sh.lianjia.com/ershoufang/107106097381.html,3室3厅,161.22平米,南,中楼层(共36层),简装,溧阳华府,鲁迅公园, 1850万,"114,751元/平",2011年建,8个月以前发布,17人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,西边套河景房+两房两卫+边套全明+近3/8号虹足站龙之梦,https://sh.lianjia.com/ershoufang/107107014293.html,2室2厅,112.1平米,西南,中楼层(共18层),简装,冠都公寓,鲁迅公园, 875万,"78,056元/平",1999年建,2个月以前发布,3人关注,塔楼、近地铁、VR看装修、房本满两年
上海,虹口,恒业公寓 内环内 电梯三房 满五 精装修 业主诚心出售,https://sh.lianjia.com/ershoufang/107107163348.html,3室2厅,125.8平米,南 北,低楼层(共11层),精装,恒业公寓,鲁迅公园, 950万,"75,517元/平",1998年建,2个月以前发布,5人关注,塔楼、近地铁、VR看装修、房本满五年
上海,虹口,3/8号线虹口足球场站，电梯两房一厅，中高区电梯,https://sh.lianjia.com/ershoufang/107107186444.html,2室2厅,91.61平米,南 北,中楼层(共18层),简装,怡景大厦,鲁迅公园, 730万,"79,686元/平",1996年建,1个月以前发布,7人关注,塔楼、近地铁、VR看装修、房本满五年
上海,虹口,顶楼复式+20平露台+东边套+产证满五+近鲁迅公园,https://sh.lianjia.com/ershoufang/107107043854.html,4室2厅,170.57平米,南,高楼层(共11层),简装,恒业公寓,鲁迅公园, 1249万,"73,226元/平",1998年建,2个月以前发布,19人关注,板楼、近地铁、VR房源、房本满五年
上海,虹口,瑞虹商圈+10号线地铁口+品质小区,https://sh.lianjia.com/ershoufang/107106952529.html,3室2厅,125.92平米,南,中楼层(共22层),简装,世博花园,鲁迅公园, 1250万,"99,270元/平",2004年建,3个月以前发布,23人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,虹口花苑二期 电梯房 复式 二手买进 业主诚心出售,https://sh.lianjia.com/ershoufang/107106739032.html,3室2厅,131.83平米,南,高楼层(共11层),简装,虹口花苑,鲁迅公园, 1097万,"83,214元/平",1998年建,4个月以前发布,7人关注,板楼、近地铁、VR房源、房本满五年
上海,虹口,虹临花园满二的三房，带大花园，装修好,https://sh.lianjia.com/ershoufang/107106889681.html,3室2厅,117.6平米,南,低楼层(共18层),精装,虹临花园,鲁迅公园, 880万,"74,830元/平",1991年建,3个月以前发布,21人关注,塔楼、近地铁、VR看装修、房本满两年
上海,虹口,楼层好总价低无对比一室户，1982年房龄，业主诚意出售,https://sh.lianjia.com/ershoufang/107105736876.html,1室1厅,34.59平米,南,中楼层(共5层),简装,欧五小区,鲁迅公园, 248万,"71,698元/平",1982年建,10个月以前发布,19人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
